App,Rating,Reviews,Size,Installs (more than),Type,Price,Content Rating,Genres,Last Updated,Android Ver
Fruits Bomb,4.4,74673,17.0,10000000,Free,0.0,Everyone,Casual,2018-07-06,4.0.3 and up
Traffic Racer,4.5,5387639,53.0,100000000,Free,0.0,Everyone,Racing,2018-02-27,4.1 and up
Hill Climb Racing 2,4.6,2750410,,100000000,Free,0.0,Everyone,Racing,2018-08-02,4.2 and up
Flow Free,4.3,1295606,11.0,100000000,Free,0.0,Everyone,Puzzle,2018-04-11,4.1 and up
Knife Hit,4.5,461137,60.0,10000000,Free,0.0,Everyone,Arcade,2018-05-22,4.0.3 and up
Block Craft 3D: Building Simulator Games For Free,4.5,946926,57.0,50000000,Free,0.0,Everyone,Simulation,2018-03-05,4.0.3 and up
Farm Fruit Pop: Party Time,4.4,9305,14.0,1000000,Free,0.0,Everyone,Casual,2018-08-02,4.0.3 and up
ROBLOX,4.5,4448791,67.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,4.1 and up
Helix Jump,4.2,1498648,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
Subway Surfers,4.5,27724094,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
Candy Crush Saga,4.4,22428456,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Toon Blast,4.7,1351089,,10000000,Free,0.0,Everyone,Puzzle,2018-07-30,4.1 and up
Love Balls,4.2,360630,40.0,50000000,Free,0.0,Everyone,Puzzle,2018-07-31,4.1 and up
Granny,4.5,1137267,59.0,50000000,Free,0.0,Teen,Arcade,2018-05-29,4.0 and up
8 Ball Pool,4.5,14200344,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,7672495,,100000000,Free,0.0,Mature 17+,Action,2018-08-02,Varies with device
slither.io,4.4,5234810,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Hungry Shark Evolution,4.5,6074334,100.0,100000000,Free,0.0,Teen,Arcade,2018-07-25,4.1 and up
Temple Run 2,4.3,8118937,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
Kick the Buddy,4.3,1000417,,50000000,Free,0.0,Teen,Action,2018-07-05,4.4 and up
Magic Tiles 3,4.5,592282,,50000000,Free,0.0,Everyone,Music,2018-08-03,4.1 and up
Bowmasters,4.7,1535084,,50000000,Free,0.0,Teen,Action,2018-07-23,4.1 and up
Piano Tiles 2™,4.7,8118880,,100000000,Free,0.0,Everyone,Arcade,2018-08-03,4.1 and up
Pokémon GO,4.1,10424925,85.0,100000000,Free,0.0,Everyone,Adventure,2018-07-23,4.4 and up
Wordscapes,4.8,230727,87.0,10000000,Free,0.0,Everyone,Word,2018-08-02,4.1 and up
Paint Hit,4.4,37023,33.0,10000000,Free,0.0,Everyone,Casual,2018-07-06,5.0 and up
Snake VS Block,4.2,422244,32.0,50000000,Free,0.0,Teen,Arcade,2018-04-23,4.1 and up
Rolly Vortex,4.4,98123,40.0,10000000,Free,0.0,Teen,Arcade,2018-05-25,4.1 and up
Woody Puzzle,4.7,21262,29.0,1000000,Free,0.0,Everyone,Puzzle,2018-08-03,4.4 and up
Stack Jump,4.3,118253,40.0,10000000,Free,0.0,Teen,Arcade,2018-05-03,4.1 and up
Color by Number – New Coloring Book,4.7,141529,24.0,5000000,Free,0.0,Everyone 10+,Board,2018-08-01,4.1 and up
The Cube,4.2,70226,38.0,5000000,Free,0.0,Everyone,Arcade,2018-07-25,4.1 and up
Extreme Car Driving Simulator,4.3,2251012,52.0,100000000,Free,0.0,Everyone,Racing,2018-05-03,4.0 and up
Bricks n Balls,4.4,30253,,1000000,Free,0.0,Everyone,Casual,2018-08-05,4.1 and up
The Fish Master!,4.1,15763,54.0,1000000,Free,0.0,Everyone,Arcade,2018-07-17,4.1 and up
Color Road,4.1,84911,71.0,10000000,Free,0.0,Everyone,Arcade,2018-07-19,4.1 and up
Draw In,4.2,46416,73.0,10000000,Free,0.0,Everyone,Arcade,2018-07-23,4.1 and up
Block Craft 3D: Building Simulator Games For Free,4.5,946926,57.0,50000000,Free,0.0,Everyone,Simulation,2018-03-05,4.0.3 and up
PLANK!,4.7,7196,38.0,500000,Free,0.0,Everyone,Arcade,2018-07-17,4.3 and up
Looper!,4.6,48256,62.0,1000000,Free,0.0,Everyone,Puzzle,2018-07-20,4.1 and up
Trivia Crack,4.5,6427773,95.0,100000000,Free,0.0,Everyone,Trivia,2018-08-03,4.1 and up
Will it Crush?,3.1,25825,16.0,5000000,Free,0.0,Everyone,Simulation,2018-05-22,4.4 and up
Tomb of the Mask,4.1,55380,39.0,5000000,Free,0.0,Everyone,Action,2018-07-24,5.0 and up
Baseball Boy!,3.4,148177,78.0,10000000,Free,0.0,Everyone,Arcade,2018-07-27,4.1 and up
PUBG MOBILE,4.4,3715656,36.0,50000000,Free,0.0,Teen,Action,2018-07-24,4.3 and up
Episode - Choose Your Story,4.3,1841061,,50000000,Free,0.0,Teen,Simulation,2018-07-31,Varies with device
Hello Stars,4.6,101686,31.0,10000000,Free,0.0,Everyone,Puzzle,2018-08-04,4.1 and up
Run Sausage Run!,4.4,275447,,10000000,Free,0.0,Everyone 10+,Arcade,2018-08-01,4.1 and up
Tank Stars,4.3,174755,98.0,10000000,Free,0.0,Everyone 10+,Arcade,2018-07-11,5.0 and up
Castle Clash: Heroes of the Empire US,4.6,4578476,24.0,50000000,Free,0.0,Everyone 10+,Strategy,2018-07-17,4.1 and up
Hole.io,4.2,145353,85.0,10000000,Free,0.0,Teen,Arcade,2018-07-24,4.1 and up
Helix Jump,4.2,1499373,33.0,100000000,Free,0.0,Everyone,Action,2018-04-09,4.1 and up
Mini Golf King - Multiplayer Game,4.5,531458,100.0,5000000,Free,0.0,Everyone,Sports,2018-07-20,4.0.3 and up
PUBG MOBILE,4.4,3714270,36.0,50000000,Free,0.0,Teen,Action,2018-07-24,4.3 and up
Flip the Gun - Simulator Game,4.2,195558,86.0,10000000,Free,0.0,Everyone,Arcade,2018-07-26,5.0 and up
Mad Skills BMX 2,4.5,29940,80.0,1000000,Free,0.0,Everyone,Action,2018-07-26,4.1 and up
Wordscapes,4.8,230727,87.0,10000000,Free,0.0,Everyone,Word,2018-08-02,4.1 and up
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",4.4,41975,79.0,1000000,Free,0.0,Everyone,Racing,2018-07-19,5.0 and up
Word Link,4.6,216675,30.0,10000000,Free,0.0,Everyone,Word,2018-08-01,4.1 and up
Last Day on Earth: Survival,4.5,2311785,87.0,10000000,Free,0.0,Teen,Action,2018-08-01,4.1 and up
MARVEL Strike Force,4.3,165888,91.0,5000000,Free,0.0,Teen,Role Playing,2018-07-31,4.4 and up
Partymasters - Fun Idle Game,4.6,541144,63.0,10000000,Free,0.0,Teen,Arcade,2018-07-12,5.0 and up
Harry Potter: Hogwarts Mystery,4.4,1107310,,10000000,Free,0.0,Teen,Adventure,2018-08-01,4.4 and up
Offroad Outlaws,4.4,29168,,1000000,Free,0.0,Everyone,Racing,2018-05-29,4.1 and up
Grim Soul: Dark Fantasy Survival,4.5,189773,95.0,5000000,Free,0.0,Teen,Role Playing,2018-07-18,4.1 and up
DRAGON BALL LEGENDS,4.6,337752,48.0,5000000,Free,0.0,Teen,Action,2018-08-03,6.0 and up
Disney Heroes: Battle Mode,4.6,102107,,5000000,Free,0.0,Everyone 10+,Strategy,2018-07-31,Varies with device
Homescapes,4.6,3093358,,10000000,Free,0.0,Everyone,Casual,2018-07-13,4.0.3 and up
New YAHTZEE® With Buddies Dice Game,4.1,42079,93.0,5000000,Free,0.0,Everyone,Board,2018-07-05,4.1 and up
Word Crossy - A crossword game,4.5,240416,53.0,5000000,Free,0.0,Everyone,Word,2018-08-01,4.0.3 and up
MLB TAP SPORTS BASEBALL 2018,4.6,32506,82.0,1000000,Free,0.0,Everyone,Sports,2018-06-27,4.2 and up
Hero Hunters,4.4,70747,99.0,5000000,Free,0.0,Teen,Action,2018-07-31,4.4 and up
Cooking Madness - A Chef's Restaurant Games,4.7,358817,49.0,10000000,Free,0.0,Everyone,Arcade,2018-07-30,4.1 and up
Ice Crush 2018 - A new Puzzle Matching Adventure,4.6,15403,25.0,1000000,Free,0.0,Everyone,Casual,2018-08-02,4.1 and up
TerraGenesis - Space Colony,4.3,38957,,1000000,Free,0.0,Everyone,Simulation,2018-08-02,Varies with device
Merge Dragons!,4.5,214777,91.0,5000000,Free,0.0,Everyone,Puzzle,2018-07-30,4.1 and up
SHADOWGUN LEGENDS,4.6,100609,52.0,1000000,Free,0.0,Teen,Action,2018-07-16,6.0 and up
RULES OF SURVIVAL,4.2,1343866,56.0,10000000,Free,0.0,Teen,Action,2018-08-01,4.0 and up
Mafia City,4.5,168717,56.0,10000000,Free,0.0,Mature 17+,Strategy,2018-08-03,2.3 and up
"Cash, Inc. Money Clicker Game & Business Adventure",4.8,549720,85.0,10000000,Free,0.0,Everyone,Simulation,2018-07-19,4.4 and up
Dino War: Rise of Beasts,4.1,18996,81.0,1000000,Free,0.0,Teen,Strategy,2018-08-01,4.1 and up
Tokyo Ghoul: Dark War,4.3,25094,82.0,1000000,Free,0.0,Teen,Role Playing,2018-07-06,4.3 and up
Last Shelter: Survival,4.4,93033,98.0,5000000,Free,0.0,Teen,Strategy,2018-08-04,4.0.3 and up
Guns of Glory,4.0,120592,77.0,10000000,Free,0.0,Everyone 10+,Strategy,2018-07-31,4.0.3 and up
Lineage 2: Revolution,4.2,187972,99.0,5000000,Free,0.0,Teen,Role Playing,2018-07-11,4.4 and up
Final Fantasy XV: A New Empire,4.0,484981,,10000000,Free,0.0,Everyone 10+,Strategy,2018-06-15,4.1 and up
Girls' Frontline,4.2,2055,96.0,100000,Free,0.0,Teen,Strategy,2018-05-18,4.0.3 and up
Chapters: Interactive Stories,4.5,73539,96.0,1000000,Free,0.0,Mature 17+,Role Playing,2018-08-02,4.3 and up
Honkai Impact 3rd,4.7,59017,82.0,1000000,Free,0.0,Teen,Action,2018-07-03,4.3 and up
Master of Eternity(MOE),4.2,5829,70.0,100000,Free,0.0,Teen,Strategy,2018-07-26,4.4 and up
The Game of Life,4.4,18621,63.0,100000,Paid,2.99,Everyone,Board,2018-07-04,4.4 and up
Clue,4.6,19922,35.0,100000,Paid,1.99,Everyone 10+,Board,2018-07-30,5.0 and up
The Room: Old Sins,4.9,21119,48.0,100000,Paid,4.99,Everyone,Puzzle,2018-04-18,4.4 and up
The Escapists,4.4,7412,84.0,100000,Paid,4.99,Teen,Strategy,2018-04-26,2.3 and up
Farming Simulator 18,4.5,18125,15.0,100000,Paid,4.99,Everyone,Simulation,2018-07-09,4.4 and up
RollerCoaster Tycoon® Classic,4.6,10795,69.0,100000,Paid,5.99,Everyone,Simulation,2017-12-21,4.0.3 and up
Call of Duty:Black Ops Zombies,4.2,13004,46.0,100000,Paid,6.99,Teen,Action,2016-12-20,2.3.3 and up
Star Wars ™: DIRTY,4.5,38207,15.0,100000,Paid,9.99,Teen,Role Playing,2015-10-19,4.1 and up
Monument Valley 2,4.6,9394,33.0,100000,Paid,4.99,Everyone,Puzzle,2017-11-30,4.4 and up
DRAGON BALL LEGENDS,4.6,337913,48.0,5000000,Free,0.0,Teen,Action,2018-08-03,6.0 and up
ROBLOX,4.5,4449882,67.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,4.1 and up
Candy Crush Saga,4.4,22429716,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
Angry Birds 2,4.6,3883589,57.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,4.1 and up
8 Ball Pool,4.5,14200550,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Fallout Shelter,4.6,2719142,25.0,10000000,Free,0.0,Teen,Simulation,2018-06-11,4.1 and up
Harry Potter: Hogwarts Mystery,4.4,1107197,,10000000,Free,0.0,Teen,Adventure,2018-08-01,4.4 and up
PUBG MOBILE,4.4,3716278,36.0,50000000,Free,0.0,Teen,Action,2018-07-24,4.3 and up
The Sims™ FreePlay,4.3,931595,31.0,10000000,Free,0.0,Teen,Simulation,2018-07-16,4.0.3 and up
MARVEL Strike Force,4.3,165928,91.0,5000000,Free,0.0,Teen,Role Playing,2018-07-31,4.4 and up
Best Fiends - Free Puzzle Game,4.6,1480189,,10000000,Free,0.0,Everyone,Casual,2018-08-02,Varies with device
MARVEL Contest of Champions,4.3,2468063,92.0,50000000,Free,0.0,Teen,Action,2018-07-30,4.0.3 and up
Jurassic World™ Alive,4.3,309176,70.0,5000000,Free,0.0,Everyone 10+,Simulation,2018-08-02,4.4 and up
Choices: Stories You Play,4.6,807338,93.0,10000000,Free,0.0,Teen,Simulation,2018-07-30,4.0.3 and up
Solitaire TriPeaks,4.5,446434,52.0,10000000,Free,0.0,Everyone,Card,2018-08-01,4.0.3 and up
Merge Dragons!,4.5,214819,91.0,5000000,Free,0.0,Everyone,Puzzle,2018-07-30,4.1 and up
The Walking Dead: Road to Survival,4.2,522466,37.0,10000000,Free,0.0,Mature 17+,Role Playing,2018-06-19,4.0.3 and up
Hustle Castle: Fantasy Kingdom,4.7,584126,64.0,10000000,Free,0.0,Everyone 10+,Role Playing,2018-07-27,4.1 and up
Might & Magic: Elemental Guardians,4.3,32551,35.0,500000,Free,0.0,Mature 17+,Role Playing,2018-07-12,4.4 and up
Game of Thrones: Conquest™,4.0,90218,97.0,1000000,Free,0.0,Teen,Strategy,2018-08-03,6.0 and up
Love Nikki-Dress UP Queen,4.4,212524,93.0,5000000,Free,0.0,Everyone,Role Playing,2018-07-24,4.0.3 and up
Summoners War,4.3,2045554,28.0,50000000,Free,0.0,Teen,Role Playing,2018-07-30,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,4.6,745684,83.0,5000000,Free,0.0,Teen,Role Playing,2018-07-17,4.0.3 and up
Idle Heroes,4.7,416540,99.0,10000000,Free,0.0,Everyone 10+,Role Playing,2018-05-30,2.3 and up
Fate/Grand Order (English),4.4,16601,55.0,500000,Free,0.0,Teen,Role Playing,2018-07-26,4.0 and up
Honkai Impact 3rd,4.7,59017,82.0,1000000,Free,0.0,Teen,Action,2018-07-03,4.3 and up
Lords Mobile: Battle of the Empires - Strategy RPG,4.4,3057481,14.0,50000000,Free,0.0,Teen,Strategy,2018-07-26,2.3 and up
War and Order,4.3,224514,81.0,5000000,Free,0.0,Teen,Strategy,2018-07-18,4.0.3 and up
Dungeon Hunter Champions: Epic Online Action RPG,4.2,26247,,1000000,Free,0.0,Teen,Role Playing,2018-07-26,4.0.3 and up
Candy Crush Saga,4.4,22430188,74.0,500000000,Free,0.0,Everyone,Casual,2018-07-05,4.1 and up
ROBLOX,4.5,4449910,67.0,100000000,Free,0.0,Everyone 10+,Adventure,2018-07-31,4.1 and up
8 Ball Pool,4.5,14201891,52.0,100000000,Free,0.0,Everyone,Sports,2018-07-31,4.0.3 and up
Subway Surfers,4.5,27725352,76.0,1000000000,Free,0.0,Everyone 10+,Arcade,2018-07-12,4.1 and up
Candy Crush Soda Saga,4.4,6199095,67.0,100000000,Free,0.0,Everyone,Casual,2018-07-10,4.1 and up
Zombie Hunter King,4.3,10493,50.0,1000000,Free,0.0,Mature 17+,Action,2018-08-01,2.3 and up
Bubble Shooter,4.5,148945,46.0,10000000,Free,0.0,Everyone,Casual,2018-07-17,4.0.3 and up
Toon Blast,4.7,1351771,,10000000,Free,0.0,Everyone,Puzzle,2018-07-30,4.1 and up
Toy Blast,4.7,1889582,,50000000,Free,0.0,Everyone,Puzzle,2018-07-23,4.1 and up
Clash Royale,4.6,23136735,97.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-06-27,4.1 and up
Clash of Clans,4.6,44893888,98.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-15,4.1 and up
Farm Heroes Saga,4.4,7614415,70.0,100000000,Free,0.0,Everyone,Casual,2018-07-26,2.3 and up
Plants vs. Zombies FREE,4.4,4067651,69.0,100000000,Free,0.0,Everyone 10+,Strategy,2018-07-06,4.1 and up
Word Search,4.7,295576,3.9,10000000,Free,0.0,Everyone,Word,2018-06-06,3.0 and up
Block Puzzle,4.6,59907,7.8,5000000,Free,0.0,Everyone,Puzzle,2018-03-06,2.3 and up
Super Jim Jump - pixel 3d,4.5,10460,18.0,1000000,Free,0.0,Everyone,Arcade,2018-07-11,4.0 and up
Pou,4.3,10486018,24.0,500000000,Free,0.0,Everyone,Casual,2018-05-25,4.0 and up
Temple Run 2,4.3,8119151,62.0,500000000,Free,0.0,Everyone,Action,2018-07-05,4.0 and up
Flow Free,4.3,1295625,11.0,100000000,Free,0.0,Everyone,Puzzle,2018-04-11,4.1 and up
Homescapes,4.6,3093932,,10000000,Free,0.0,Everyone,Casual,2018-07-13,4.0.3 and up
Wordscapes,4.8,230849,87.0,10000000,Free,0.0,Everyone,Word,2018-08-02,4.1 and up
My Talking Angela,4.5,9883367,99.0,100000000,Free,0.0,Everyone,Casual,2018-07-03,4.1 and up
slither.io,4.4,5235294,,100000000,Free,0.0,Everyone,Action,2017-11-14,2.3 and up
Cooking Fever,4.5,3198176,82.0,100000000,Free,0.0,Everyone,Arcade,2018-07-12,4.0.3 and up
Yes day,4.5,10055521,94.0,100000000,Free,0.0,Everyone,Casual,2018-06-28,4.0.3 and up
Gardenscapes,4.6,4129665,,50000000,Free,0.0,Everyone,Casual,2018-07-13,4.0.3 and up
Fishdom,4.6,2158580,,10000000,Free,0.0,Everyone,Puzzle,2018-07-19,4.0.3 and up
Galaxy Attack: Alien Shooter,4.6,506593,,10000000,Free,0.0,Everyone,Arcade,2018-08-01,4.1 and up
Score! Hero,4.6,5419676,96.0,100000000,Free,0.0,Everyone,Sports,2018-06-13,4.4 and up
